"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1887,53.9,48.9,46.7,23.6,36.2,46.3,78.6,40.2,44.1,19.8,55.7,137.9,53.6,21.9,52.1,52.8,26.8,48.1,19.8
"historical",1888,54.5,57.1,90.7,36.8,65.4,48.2,72.5,21.7,21.9,10.3,69.9,103,79.8,38.3,58.7,28.7,51.4,23.7,10.3
"historical",1889,83.4,41.9,62.4,30.9,59.1,22.5,59.3,34,51.4,21.6,55.1,108.8,41.1,21.7,41.9,93.2,64.9,33.2,21.6
"historical",1890,64.7,35.5,45.3,60.5,64.2,36.4,50.5,21,9,14.9,62.8,119.6,65,41.6,47.8,83.8,64.4,43.1,9
"historical",1891,34.2,17,27.6,39.7,43.2,26.5,62.6,27.8,58,11.7,78.4,146.4,34.9,36.8,25.9,98.3,69.3,34.3,11.7
"historical",1892,35.1,46.6,25.6,32.1,47.2,18.2,60.7,34.2,25.7,30.4,40.2,133.4,59.5,46,30,78.5,53.9,38.9,18.2
"historical",1893,48.2,38.2,98.6,41.1,35.7,37.2,57.6,28.6,27.7,22.3,58.8,109.4,63.6,51.4,31.5,62,80.5,26.8,22.3
"historical",1894,29.7,25.6,67.6,19.1,51,39.9,93,53.4,28.7,26.5,74.5,120.6,67.7,44.3,54.6,66.8,50.4,36.5,19.1
"historical",1895,45.4,21.7,71.1,46.6,27.7,26.3,60.7,40.5,45.7,46.8,58.5,110,54.6,14.4,51.6,62.8,27.4,34.3,14.4
"historical",1896,79.9,46.2,69.3,47.1,45.4,41.2,99.2,30.4,39.9,16.9,51.1,77.4,34.3,34.9,36.1,42.1,44.5,40.4,16.9
"historical",1897,64.3,40.7,78.4,28.5,23.4,53.5,70.4,8.7,18.9,21.3,67.1,103.5,80.4,22.2,59.1,57.4,58.7,39.4,8.7
"historical",1898,43.6,39.8,59.6,37.1,38.5,18.5,62.1,11.7,38.2,37,76,109.3,40.7,32.9,60.4,68.5,45.4,52.6,11.7
"historical",1899,22.3,73.1,39,49.7,33.1,37.5,65.8,13.6,15.9,22.2,61.8,150,50.5,20.6,37.9,40.9,48.6,46.5,13.6
"historical",1900,35,42.2,75.7,46.9,49.1,30.5,56.6,49.7,20.6,22.7,68.1,104,84.4,30.1,40.7,87.7,65.6,22.7,20.6
"historical",1901,45.7,47.9,74.1,21.4,54,36.4,63.4,35.6,30.1,20.7,70.2,108.9,82.7,45.7,29.2,64.1,55.8,47.1,20.7
"historical",1902,83.1,68.5,40.5,11.2,56.1,60.5,73.6,47.7,27.3,33.3,68.7,112.1,68.3,22.5,21.9,49.6,37.5,32.3,11.2
"historical",1903,47.9,53.9,58.2,47.3,82.2,26.8,72.3,21.7,38.7,26.2,64.2,99.5,76,28.4,53,77.6,35.7,39.1,21.7
"historical",1904,20.9,63.6,51,49.3,54.5,45.7,75.7,11.4,35.3,21.7,84.6,120.5,29,38.2,27,57.7,38.5,37.4,11.4
"historical",1905,22,70,71,36.8,56.8,38.8,94.3,26.6,19.2,23.3,94.1,113.1,55.6,31.5,48.4,44.3,60.9,48.4,19.2
"historical",1906,48.4,28.8,36.1,25.3,45.8,31.4,43.4,49.7,46.4,20.8,61,97.4,62.7,48.3,48.7,59.1,55.5,46.1,20.8
"historical",1907,29.7,47.3,54.3,59.6,40.8,53.6,69.9,29.7,25.3,23.3,37.1,123.5,75.8,40.3,54.9,55.9,58.7,45.7,23.3
