"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1880,-3.7,2,-7.5,-4.9,-5.3,-4.9,-6,-9.7,-8.4,-6,-4.5,0.3,-5.7,-8.2,-8.7,-1.5,-9.5,-9.1,-5.6
"historical",1881,-6.8,1.6,-5.7,-3.4,-6.4,-6.1,-3.2,-8.9,-8.8,-7.8,-5.8,-1.9,-6.5,-6.3,-7.3,-2.6,-11.5,-8.4,-5.9
"historical",1882,-6.4,0,-5.5,-6.2,-5.8,-5.1,-10.4,-9.2,-11.5,-6.6,-6.1,-0.2,-3.6,-6.6,-8.1,-3,-12.6,-7,-6.3
"historical",1883,-5.2,1,-5.7,-5.1,-6.9,-6.1,-5.7,-8.7,-6.6,-6.2,-6.1,-1.1,-4.6,-6.7,-6.5,-2.2,-14.8,-8.6,-5.9
"historical",1884,-4.8,1.4,-8.9,-7.6,-6.9,-5.8,-5.7,-9.4,-11.2,-8,-7.1,-4.6,-4.6,-7.2,-8.1,-3.5,-15.3,-10.7,-7.1
"historical",1885,-4.7,0.2,-8.3,-4.7,-6.7,-6,-6.9,-10.6,-7,-6.3,-6.5,-1.3,-3.9,-7.5,-7.3,-3.2,-8.6,-12.1,-6.2
"historical",1886,-4,0.5,-3.8,-4.7,-5.3,-5.5,-5.4,-13.1,-8.9,-5.3,-8.8,-1.8,-4.8,-8,-9.1,-1.5,-11.1,-8.5,-6.1
"historical",1887,-2.6,0.5,-4.2,-4.8,-5.1,-6.6,-6.8,-8.8,-9.3,-8,-5,-1.2,-6.2,-7.6,-6.4,-3.2,-11.8,-8.4,-5.9
"historical",1888,-5.5,1.9,-4,-4.9,-7.5,-4.3,-9.1,-9.1,-8.6,-8.8,-9.4,-1.7,-4.1,-9,-6,-5.8,-9.7,-11.4,-6.5
"historical",1889,-2.7,1.2,-3.1,-5.7,-4.8,-5.3,-3.4,-11.4,-10.2,-2.9,-5.8,-1.8,-5.7,-7.4,-8.3,-3.4,-16,-7.2,-5.8
"historical",1890,-3.8,2.9,-8,-4.7,-6.4,-5.2,-6.1,-8.7,-8.7,-8.9,-7.5,-1.6,-3.7,-5.7,-6.8,-0.6,-14,-8.9,-5.9
"historical",1891,-3.1,0.9,-6.4,-7.6,-4.5,-4.9,-3.8,-8.6,-10.7,-10.7,-4.2,-2.2,-4.5,-7.1,-8.5,-4,-12.5,-7.1,-6.1
"historical",1892,-3.5,0.6,-4.2,-5.3,-5.2,-5.2,-7,-7.8,-10.9,-9.4,-4.7,-2.5,-4.8,-6.3,-8.3,-3.1,-14,-7.8,-6.1
"historical",1893,-5.6,1.1,-3.5,-4.4,-6,-3.4,-4.1,-8.8,-11.6,-5.3,-4.2,-0.5,-3.6,-5,-10.4,-1.7,-11,-10.3,-5.5
"historical",1894,-4.4,1,-5.6,-4.2,-6,-4.8,-3.2,-8.8,-10.5,-6.3,-5.2,-2.1,-3.7,-10.3,-7.4,-3.2,-14.2,-9.2,-6
"historical",1895,-6.3,1.4,-7.7,-4.2,-5.9,-5.3,-4.5,-9.6,-13.4,-7.2,-6.3,-0.6,-3.6,-7.7,-8.5,-3,-11.6,-9,-6.3
"historical",1896,-4.2,1.5,-2.1,-4,-5.8,-5.2,-7.1,-12.2,-6.7,-4.9,-4.5,-3.1,-4.4,-6.1,-7.3,-3.5,-13,-9.1,-5.7
"historical",1897,-7,2.3,-2.2,-2.9,-6.5,-4.2,-4,-9.8,-8,-8.1,-5.6,-3,-3.3,-8.5,-8.5,-3.8,-8.7,-8.1,-5.5
"historical",1898,-6.2,2.8,-4.5,-6.2,-5.3,-6.6,-5.7,-9.1,-8.8,-9.9,-6.3,-1.6,-3.4,-9,-8.2,-4.3,-10.3,-7.4,-6.1
"historical",1899,-4.4,1.1,-8.1,-6,-7.3,-4.1,-6.1,-8.6,-7.7,-8.9,-5.7,-1,-4.6,-7.2,-7.6,-1.8,-15.5,-11.3,-6.4
"historical",1900,-4.1,1.5,-6.2,-4.2,-6.9,-5.4,-3.2,-7.8,-10.6,-4.8,-6.8,0.3,-4.5,-3.8,-8.2,-4.8,-10.9,-10,-5.6
"historical",1901,-4.8,2.7,-8.9,-6.1,-7.2,-4.5,-4.2,-10.2,-8,-5.1,-4.6,-0.3,-5.1,-6.7,-7.8,-3.7,-10,-9.5,-5.8
"historical",1902,-3.5,2.4,-7.3,-6.4,-5.5,-4.7,-5.2,-8.8,-8.7,-5.6,-5.6,-1.2,-5.7,-9,-8,-5.8,-9.8,-11.2,-6.1
"historical",1903,-4.7,3,-4.5,-4.9,-7,-6.8,-5.9,-8.4,-8.8,-6.8,-4.9,-1.1,-4,-6.2,-5.7,-3.4,-12.5,-9.3,-5.7
"historical",1904,-4.2,1.2,-4.9,-6,-3.9,-5,-8,-10.9,-6.3,-10.7,-5.7,-1.2,-5.1,-6.2,-5.9,-1.8,-13.2,-8.4,-5.9
"historical",1905,-6.3,1.6,-2.6,-5.2,-7.3,-3.9,-2.9,-9.1,-11.4,-7.3,-7.8,-1.8,-3.9,-5.5,-7.7,-3.3,-11.1,-9.6,-5.8
"historical",1906,-4.5,0.1,-8.1,-8.2,-5,-6.7,-6,-9.7,-11,-7.5,-4.9,-3.1,-5.4,-7.4,-8.5,-2.1,-12.8,-9.7,-6.7
"historical",1907,-4,2.1,-6.7,-4.7,-7,-4.8,-7.3,-7,-6,-7.1,-6.7,-0.6,-4.1,-8.6,-8.1,-1.8,-8.7,-8.6,-5.5
"historical",1908,-2.9,0.2,-9.4,-4.8,-5.7,-5.8,-6.6,-9.1,-10.3,-7.7,-7.2,-1.7,-5,-3.4,-5.7,-4.3,-14.2,-9.2,-6.3
"historical",1909,-3.5,1.7,-6.5,-6.5,-3.8,-5.8,-3.7,-8.6,-9.3,-6.4,-5.9,-3,-3.8,-9.3,-9.5,-4.6,-9.5,-9.6,-6
"historical",1910,-4,1.7,-2.7,-5.7,-6.1,-4.8,-2.9,-9.2,-9.7,-9.1,-6.3,-1.8,-6.8,-4.3,-8.2,-1.7,-10.8,-13.8,-5.9
"historical",1911,-3.4,1.4,-7.6,-4.6,-4.3,-5.5,-4.4,-6.8,-10.7,-6.1,-4.3,-2.4,-5,-7.3,-7.4,-4.6,-9.4,-7.9,-5.6
"historical",1912,-3.1,1.1,-5.5,-5.4,-5.6,-7,-8.8,-7,-11,-7,-6.6,-1.8,-5.3,-4.9,-7.5,-2.7,-15.7,-9.9,-6.3
"historical",1913,-2.7,1.4,-6.6,-4.9,-5.6,-4.4,-3.3,-10,-10.8,-7.1,-4.9,-2.9,-4,-7,-7.1,-1.9,-11.7,-10.4,-5.8
"historical",1914,-5.7,1.9,-3.2,-6,-5.2,-4.8,-8,-10.6,-7.2,-5.8,-6.5,-1.4,-3.8,-4.3,-7.8,-2.7,-12.5,-11.8,-5.9
"historical",1915,-3.8,0.6,-4.5,-5.3,-4.2,-5.8,-5.1,-8.7,-8.1,-7.1,-6.9,-2.4,-4.8,-5.6,-6.5,-2.9,-12.9,-10,-5.8
"historical",1916,-2.4,1.9,-3.6,-3.1,-5.2,-4.5,-11.4,-9.8,-7.4,-6.3,-4.6,-1.6,-4.9,-9.2,-8.5,-2.8,-10.6,-7.2,-5.6
"historical",1917,-4.6,1,-7.3,-3.8,-6.8,-3,-3.3,-10.8,-12.9,-4.7,-5.8,-3.3,-5.1,-8.4,-7.9,-2.5,-10.9,-8.9,-6.1
