"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1887,46.5,59.2,26.7,51.8,61,49.1,95.9,45.6,57.6,34.9,46.7,93.1,43.5,96.1,30.2,71.2,45.7,44.5,26.7
"historical",1888,45.5,43.5,46.4,36.2,41.5,64.3,53.9,27.6,29.8,51.3,65.4,56.1,55.2,69,35.9,88.6,29.4,29.9,27.6
"historical",1889,34.3,127.6,78.5,46.1,61.4,57.9,69.2,27.1,28.7,53.4,65.8,38.8,35,43.2,26.1,73.3,32.9,57.6,26.1
"historical",1890,53.8,80.3,49.9,57.9,49,86.1,95.2,57,53.1,82.6,71.7,79.5,61.6,34,37.5,65.2,20.5,36.5,20.5
"historical",1891,35.1,112.6,46.2,44.8,72.3,50.3,79.7,34.2,40.5,64.3,53.2,89.5,57.1,51.5,45.3,82.4,49,28,28
"historical",1892,30.2,70.6,39.8,57.2,42.6,85.6,61.4,51,54.8,62,79.6,65.2,67.8,67.2,33.4,80.9,27.2,23,23
"historical",1893,56.1,73.8,54.1,61.2,48.5,57.9,102.8,38.2,30.9,56,65.1,72.7,46.7,74.2,39.7,59.8,42.3,44.2,30.9
"historical",1894,36,96.9,54.8,53.6,37.9,49.5,97.5,22.3,31.3,83.2,59.5,81,27.6,42.9,39.3,108.4,37.2,22.7,22.3
"historical",1895,32.6,127.3,108,35.2,55.6,54.1,58.6,46.3,42,85.6,84.5,50.3,39.3,37.6,38.5,100,49.2,44.2,32.6
"historical",1896,48.4,115.9,39.8,58.2,21.5,36.2,60.1,29.4,61.7,95.3,34.9,82.2,58.5,40.5,27.7,70.3,36.6,35.2,21.5
"historical",1897,56.5,84.4,79,54.1,30.2,30.9,64.8,42.4,37.9,55.1,45.5,57.3,50.3,11.4,28.6,85.5,45.4,37.4,11.4
"historical",1898,54,71.7,77.7,36.2,51,62.2,57.5,41.8,35.8,22.1,40.2,66.5,20.8,73.6,20,90.5,45.1,35.3,20
"historical",1899,51.9,69.3,56.9,23.7,58.7,51.6,111.8,53.4,27,41.6,47.9,81.3,61,51.8,27.5,74.9,36.6,22.7,22.7
"historical",1900,54.1,145.9,51.7,27.6,63.2,60.2,51.6,33.2,36.9,81.7,68.7,106.9,51.9,95,28.7,85.6,54.7,43.5,27.6
"historical",1901,38.4,73.5,50,39.7,49.8,76.6,81,43,35.2,74.6,66.3,106.3,29.7,29.6,31.1,38.1,37.3,31.7,29.6
"historical",1902,34.3,56,49.7,30.8,45.1,28.4,80.7,41.2,69.8,62.6,62.1,76.6,62.3,77.1,35.2,90.4,54.7,36,28.4
"historical",1903,50.7,120.2,48.5,54.2,43.9,57.7,105.8,39.9,45.5,54.1,53.9,96.7,47,49.5,32.7,79.8,19.7,37.9,19.7
"historical",1904,64.8,71.2,41.2,35.4,76.9,81.1,95.4,49.9,29.9,56.8,78.8,66.3,32.9,54.7,35.4,92.1,32.9,23.5,23.5
"historical",1905,35.3,49.1,54.3,41.9,27.6,47.8,101.5,31,22.4,58.9,41.6,43.8,34.1,56.7,33.7,60.7,42.4,13.9,13.9
"historical",1906,38.7,107.6,52.6,44.8,82.8,51.7,85,44.8,28,72.7,53.8,46.7,39.4,51.7,37.8,83.2,27.4,32.2,27.4
"historical",1907,49.3,103,53.1,18.8,38.4,38.6,88,44.1,48,89.3,54.2,93,66.2,30.9,39.3,76.1,44,46.9,18.8
"historical",1908,36.9,44,47.6,20.4,57.4,72.8,61.9,50.1,48.6,58.6,51.5,58.6,52.8,71.3,45.8,61.9,35.7,45.8,20.4
"historical",1909,55.3,176.3,33.9,22.6,61.8,53,116.6,53.9,57.6,66.7,52.6,41.5,53.3,67.9,27.1,111.5,35.4,47.4,22.6
"historical",1910,54.9,133.1,84.2,29.4,53.8,35.9,75,30.1,54,56.1,38.3,71.3,43.9,45,49.2,60.4,67,31.8,29.4
"historical",1911,63.4,126.7,83.9,42.7,63.3,51,51.1,46,49.3,62,39.6,81.2,35.7,33.8,29.2,57.4,52.6,41.4,29.2
"historical",1912,46.7,56.2,81.5,31.1,56.3,86.1,78.1,55.1,35.5,49.4,39.8,51.6,49.4,45,30.3,39.4,26.6,40.1,26.6
