"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,129.7,198.9,119.7,81.5,111.5,161.4,135.8,30.4,130.1,112.7,60.7,161,74.4,84.1,37.5,69.6,93.5,94.4,30.4
"historical",1851,40.6,83.2,115.4,61.9,136.4,76.1,151.2,37.2,144.6,67.6,95.5,140.2,12.5,49,80.6,121.8,46.1,82.7,12.5
"historical",1852,274.4,86.2,97.9,47.4,113.7,64.5,197.9,61.9,67.2,67.4,77.4,48.3,78.1,91.1,142.4,111.1,77.4,53.1,47.4
"historical",1853,269.6,200.8,25.9,71.9,135.7,80,89,53,125,87,87.1,132.8,51.1,122.9,80.8,111.4,72.3,134.2,25.9
"historical",1854,178,157.2,51,35.4,90,141.5,131.2,54,246.4,67.8,142.5,95.2,45.3,87.4,93.2,94.1,99.1,69.7,35.4
"historical",1855,82.5,156.2,111.6,72.6,115.8,157.8,175.8,38.3,84.9,74.4,44.1,94.9,64.1,140.1,99.1,63.3,146.3,60.8,38.3
"historical",1856,110.7,76.8,74.3,112.3,58.3,168.9,71.9,39.3,127.8,53.4,128.8,88.9,57,88,61,104.3,103.7,90.9,39.3
"historical",1857,197.5,179.3,84.4,56.4,107.6,114.5,230.5,46.6,163.5,90.7,105.3,46.3,54.5,95.4,93.2,132.3,131.3,133.6,46.3
"historical",1858,139.5,188.6,79.3,83.3,111.2,131,158.8,47.2,115.7,78.6,114.8,47.4,70.9,118,97.5,141.9,35,60.9,35
"historical",1859,171.1,162.1,109.9,83,90.6,104.6,111.9,64.8,177.9,120.2,163.9,74.2,43.5,69.6,128.5,107.3,122.3,64.1,43.5
"historical",1860,111.1,102.4,110.6,72.2,111.9,99.7,197.3,89.2,212.9,61.1,34.2,123.2,119.5,91.1,110.4,184.7,86.1,107.2,34.2
"historical",1861,84.8,121.7,112.4,25.8,91.3,140.7,121.7,40,122.7,91.1,165.1,135.3,77.8,128.8,78.8,197.1,38.6,126.9,25.8
"historical",1862,182.7,73.1,117,19.8,123.8,90.5,179.8,70.4,95.9,91.6,116.3,100.7,84.9,108.8,78.8,162.2,16.8,120.5,16.8
"historical",1863,189.6,142.8,46.4,112.9,54.3,116.4,125.6,80.4,151.6,75.9,113.3,69.4,55.7,95.2,56.7,198.6,93.3,60.7,46.4
"historical",1864,130.4,62.9,116.8,74.3,75.1,117.8,185.2,96.9,152.9,31.8,144.8,35.7,65.1,81.6,47.1,188.2,128.1,106.1,31.8
"historical",1865,134.8,157.5,85.3,70.5,156.1,91.1,85.9,90.9,138.3,58.3,138.9,69.5,54.9,72,92.7,120.8,101.6,125.3,54.9
